Sample #,Image Type,Query,True Label,Model Response,Correctness Score
Sample 11,Inverted,What's the rightmost value dark brown graph?,47,50,0.9
Sample 11,Super Sharp and Super Saturated,What's the rightmost value dark brown graph?,47,The rightmost value of the dark brown graph is 47.,1.0
Sample 12,Baseline,How many values of dark brown graph exceed 40?,5,Two values of the dark brown graph exceed 40.,0.0
Sample 12,Black and White,How many values of dark brown graph exceed 40?,5,Four values of the dark brown graph exceed 40.,0.6
Sample 12,Vertically Stretched,How many values of dark brown graph exceed 40?,5,Eight values of the dark brown graph exceed 40.,0.0
Sample 12,Horizontally Stretched,How many values of dark brown graph exceed 40?,5,Four values of the dark brown graph exceed 40.,0.8
Sample 12,Squeezed Vertically,How many values of dark brown graph exceed 40?,5,Four values of the dark brown graph exceed 40.,0.7
Sample 12,Squeezed Horizontally,How many values of dark brown graph exceed 40?,5,Five values of the dark brown graph exceed 40.,1.0
Sample 12,Downscaled,How many values of dark brown graph exceed 40?,5,Seven values of the dark brown graph exceed 40.,0.0
Sample 12,Upscaled,How many values of dark brown graph exceed 40?,5,3 values exceed 40.,0.0
Sample 12,Increased Saturation,How many values of dark brown graph exceed 40?,5,Five values.,1.0
Sample 12,Super Increased Saturation,How many values of dark brown graph exceed 40?,5,Five values of the dark brown graph exceed 40.,0.7
Sample 12,Decreased Saturation,How many values of dark brown graph exceed 40?,5,Eight values.,0.0
Sample 12,Super Decreased Saturation,How many values of dark brown graph exceed 40?,5,Seven values of the dark brown graph exceed 40.,0.0
Sample 12,Increased Brightness,How many values of dark brown graph exceed 40?,5,Seven values of the dark brown graph exceed 40.,0.0
Sample 12,Super Increased Brightness,How many values of dark brown graph exceed 40?,5,Seven values of the dark brown graph exceed 40.,0.0
Sample 12,Decreased Brightness,How many values of dark brown graph exceed 40?,5,Twelve values of the dark brown graph exceed 40.,0.0
Sample 12,Super Decreased Brightness,How many values of dark brown graph exceed 40?,5,Four values of the dark brown graph exceed 40.,0.7
Sample 12,Increased Contrast,How many values of dark brown graph exceed 40?,5,There are five values of the dark brown graph that exceed 40.,1.0
Sample 12,Super Increased Contrast,How many values of dark brown graph exceed 40?,5,Seven values of the dark brown graph exceed 40.,0.0
Sample 12,Decreased Contrast,How many values of dark brown graph exceed 40?,5,Seven values of the dark brown graph exceed 40.,0.0
Sample 12,Super Decreased Contrast,How many values of dark brown graph exceed 40?,5,Ten values of the dark brown graph exceed 40.,0.0
Sample 12,Increased Sharpness,How many values of dark brown graph exceed 40?,5,Five values of the dark brown graph exceed 40.,1.0
Sample 12,Super Increased Sharpness,How many values of dark brown graph exceed 40?,5,Five values of the dark brown graph exceed 40.,0.0
Sample 12,Decreased Sharpness,How many values of dark brown graph exceed 40?,5,Six values of the dark brown graph exceed 40.,0.7
Sample 12,Super Decreased Sharpness,How many values of dark brown graph exceed 40?,5,Seven values of the dark brown graph exceed 40.,0.0
Sample 12,Inverted,How many values of dark brown graph exceed 40?,5,Ten values of the dark brown graph exceed 40.,0.3
Sample 12,Super Sharp and Super Saturated,How many values of dark brown graph exceed 40?,5,Five values.,1.0
Sample 13,Baseline,Is the largest value of green bar 30?,No,"No, the largest value of the green line is 57.",0.7
Sample 13,Black and White,Is the largest value of green bar 30?,No,"No, the largest value of the green line is 57.",0.7
Sample 13,Vertically Stretched,Is the largest value of green bar 30?,No,"No, the largest value of the green line is 57.",0.9
Sample 13,Horizontally Stretched,Is the largest value of green bar 30?,No,"No, the largest value of the green line is 57.",0.9
Sample 13,Squeezed Vertically,Is the largest value of green bar 30?,No,"No, the largest value of the green bar is 57.",0.6
Sample 13,Squeezed Horizontally,Is the largest value of green bar 30?,No,"No, the largest value of the green line is 57.",1.0
Sample 13,Downscaled,Is the largest value of green bar 30?,No,"No, the largest value of the green line is 57.",1.0
Sample 13,Upscaled,Is the largest value of green bar 30?,No,"No, the largest value of the green line is 57.",0.7
Sample 13,Increased Saturation,Is the largest value of green bar 30?,No,"No, the largest value of the green line is 57.",0.9
Sample 13,Super Increased Saturation,Is the largest value of green bar 30?,No,"No, the largest value of the green line is 57.",0.7
Sample 13,Decreased Saturation,Is the largest value of green bar 30?,No,"No, the largest value of the green line is 51.",1.0
Sample 13,Super Decreased Saturation,Is the largest value of green bar 30?,No,"No, the largest value of the green bar is 57 in 2010.",0.4
Sample 13,Increased Brightness,Is the largest value of green bar 30?,No,"No, the largest value of the green line is 57.",1.0
Sample 13,Super Increased Brightness,Is the largest value of green bar 30?,No,"Yes, the largest value of the green line is 30.",0.0
Sample 13,Decreased Brightness,Is the largest value of green bar 30?,No,"No, the largest value of the green bar is 57.",0.7
Sample 13,Super Decreased Brightness,Is the largest value of green bar 30?,No,"No, the largest value of the green line is 57.",0.9
Sample 13,Increased Contrast,Is the largest value of green bar 30?,No,"No, the largest value of the green line is 57.",1.0
Sample 13,Super Increased Contrast,Is the largest value of green bar 30?,No,"No, the largest value of the green line is 57.",0.7
Sample 13,Decreased Contrast,Is the largest value of green bar 30?,No,"No, the largest value of the green line is 57.",0.7
Sample 13,Super Decreased Contrast,Is the largest value of green bar 30?,No,"No, the largest value of the green line is 57.",0.9
Sample 13,Increased Sharpness,Is the largest value of green bar 30?,No,"No, the largest value of the green line is 57.",1.0
Sample 13,Super Increased Sharpness,Is the largest value of green bar 30?,No,"No, the largest value of the green line is 57.",1.0
Sample 13,Decreased Sharpness,Is the largest value of green bar 30?,No,"No, the largest value of the green line is 57.",0.9
Sample 13,Super Decreased Sharpness,Is the largest value of green bar 30?,No,"No, the largest value of the green line is 57 in 2010.",0.7
Sample 13,Inverted,Is the largest value of green bar 30?,No,"No, the largest value of the green bar is 49.",0.7
Sample 13,Super Sharp and Super Saturated,Is the largest value of green bar 30?,No,"No, the largest value of the green line is 57.",0.7
Sample 14,Baseline,Is the sum of highest and lowest value of orange graph greater than 60?,Yes,"Yes, the sum of the highest (49) and lowest (15) values of the orange graph is 64, which is greater than 60.",1.0
Sample 14,Black and White,Is the sum of highest and lowest value of orange graph greater than 60?,Yes,"Yes, the sum of the highest (57) and lowest (15) values of the orange graph is 72, which is greater than 60.",1.0
Sample 14,Vertically Stretched,Is the sum of highest and lowest value of orange graph greater than 60?,Yes,"No, the sum of the highest (49) and lowest (15) values of the orange graph is 64.",0.0
Sample 14,Horizontally Stretched,Is the sum of highest and lowest value of orange graph greater than 60?,Yes,"Yes, the sum of the highest (49) and lowest (15) values of the orange graph is 64, which is greater than 60.",1.0
Sample 14,Squeezed Vertically,Is the sum of highest and lowest value of orange graph greater than 60?,Yes,"Yes, the sum is greater than 60. The highest value of the orange graph is 44, and the lowest is 15. The sum is 59.",0.3
Sample 14,Squeezed Horizontally,Is the sum of highest and lowest value of orange graph greater than 60?,Yes,"Yes, the sum of the highest (49) and lowest (15) values of the orange graph is 64, which is greater than 60.",1.0
Sample 14,Downscaled,Is the sum of highest and lowest value of orange graph greater than 60?,Yes,"Yes, the sum is 66 (44 + 22).",1.0
Sample 14,Upscaled,Is the sum of highest and lowest value of orange graph greater than 60?,Yes,"Yes, the sum of the highest (49) and lowest values (15) of the orange graph is 64, which is greater than 60.",1.0
Sample 14,Increased Saturation,Is the sum of highest and lowest value of orange graph greater than 60?,Yes,"Yes. The highest value of the orange graph is 49, and the lowest is 15. Their sum is 64, which is greater than 60.",1.0
Sample 14,Super Increased Saturation,Is the sum of highest and lowest value of orange graph greater than 60?,Yes,"No, the sum is 63 (44 + 19), which is greater than 60.",0.0
Sample 14,Decreased Saturation,Is the sum of highest and lowest value of orange graph greater than 60?,Yes,"Yes, the sum is greater than 60. The highest value of the orange graph is 49, and the lowest is 15, totaling 64.",1.0
Sample 14,Super Decreased Saturation,Is the sum of highest and lowest value of orange graph greater than 60?,Yes,"Yes, the sum of the highest (57) and lowest (23) values of the orange graph is 80, which is greater than 60.",1.0
Sample 14,Increased Brightness,Is the sum of highest and lowest value of orange graph greater than 60?,Yes,"Yes, the highest value of the orange graph is 57 and the lowest is 15. Their sum is 72, which is greater than 60.",0.7
Sample 14,Super Increased Brightness,Is the sum of highest and lowest value of orange graph greater than 60?,Yes,"Yes, the sum is greater than 60.",0.9
Sample 14,Decreased Brightness,Is the sum of highest and lowest value of orange graph greater than 60?,Yes,"Yes, the sum is 60 (49 + 11).",1.0
Sample 14,Super Decreased Brightness,Is the sum of highest and lowest value of orange graph greater than 60?,Yes,"Yes, the sum is greater than 60. The highest value is 49, and the lowest is 15. Adding them gives 64.",1.0
Sample 14,Increased Contrast,Is the sum of highest and lowest value of orange graph greater than 60?,Yes,"Yes, it is greater than 60. The highest value is 49, and the lowest is 19. The sum is 68.",0.0
Sample 14,Super Increased Contrast,Is the sum of highest and lowest value of orange graph greater than 60?,Yes,"No, the sum of the highest (49) and lowest (15) values of the orange graph is 64, which is yes, greater than 60.",1.0
Sample 14,Decreased Contrast,Is the sum of highest and lowest value of orange graph greater than 60?,Yes,"Yes, the sum is greater than 60. The highest value of the orange graph is 49, and the lowest is 15, making the sum 64.",1.0
Sample 14,Super Decreased Contrast,Is the sum of highest and lowest value of orange graph greater than 60?,Yes,"Yes, the sum of the highest (49) and lowest (15) value of the orange graph is 64, which is greater than 60.",1.0
Sample 14,Increased Sharpness,Is the sum of highest and lowest value of orange graph greater than 60?,Yes,"Yes. The highest value is 49 and the lowest is 19, summing to 68.",0.7
Sample 14,Super Increased Sharpness,Is the sum of highest and lowest value of orange graph greater than 60?,Yes,"Yes, the sum of the highest (49) and lowest (15) values of the orange graph is 64, which is greater than 60.",1.0
Sample 14,Decreased Sharpness,Is the sum of highest and lowest value of orange graph greater than 60?,Yes,"Yes, the sum of the highest (49) and lowest (15) value of the orange graph is 64, which is greater than 60.",1.0
Sample 14,Super Decreased Sharpness,Is the sum of highest and lowest value of orange graph greater than 60?,Yes,"Yes, the sum is greater than 60. The highest value of the orange graph is 49, and the lowest is 15. The sum is 64.",1.0
Sample 14,Inverted,Is the sum of highest and lowest value of orange graph greater than 60?,Yes,"Yes, the sum is greater than 60.",0.9
Sample 14,Super Sharp and Super Saturated,Is the sum of highest and lowest value of orange graph greater than 60?,Yes,"Yes, the sum is greater than 60.",0.9
Sample 15,Baseline,What is the color of graph whose lowest value is 35?,Green,Green.,1.0
Sample 15,Black and White,What is the color of graph whose lowest value is 35?,Green,The color of the graph whose lowest value is 35 is gray.,0.0
Sample 15,Vertically Stretched,What is the color of graph whose lowest value is 35?,Green,Green,1.0
Sample 15,Horizontally Stretched,What is the color of graph whose lowest value is 35?,Green,Green,1.0
Sample 15,Squeezed Vertically,What is the color of graph whose lowest value is 35?,Green,The color of the graph with the lowest value of 35 is green.,1.0
Sample 15,Squeezed Horizontally,What is the color of graph whose lowest value is 35?,Green,Green.,1.0
Sample 15,Downscaled,What is the color of graph whose lowest value is 35?,Green,Green.,1.0
Sample 15,Upscaled,What is the color of graph whose lowest value is 35?,Green,Green,1.0
Sample 15,Increased Saturation,What is the color of graph whose lowest value is 35?,Green,Green.,1.0
Sample 15,Super Increased Saturation,What is the color of graph whose lowest value is 35?,Green,Green.,1.0
Sample 15,Decreased Saturation,What is the color of graph whose lowest value is 35?,Green,Green.,1.0
Sample 15,Super Decreased Saturation,What is the color of graph whose lowest value is 35?,Green,The color is gray.,0.0
Sample 15,Increased Brightness,What is the color of graph whose lowest value is 35?,Green,Yellow.,0.0
Sample 15,Super Increased Brightness,What is the color of graph whose lowest value is 35?,Green,Yellow,0.0
Sample 15,Decreased Brightness,What is the color of graph whose lowest value is 35?,Green,Green.,1.0
Sample 15,Super Decreased Brightness,What is the color of graph whose lowest value is 35?,Green,Green.,1.0
Sample 15,Increased Contrast,What is the color of graph whose lowest value is 35?,Green,Green.,1.0
Sample 15,Super Increased Contrast,What is the color of graph whose lowest value is 35?,Green,Green.,1.0
Sample 15,Decreased Contrast,What is the color of graph whose lowest value is 35?,Green,Green.,1.0
Sample 15,Super Decreased Contrast,What is the color of graph whose lowest value is 35?,Green,Yellow.,0.0
Sample 15,Increased Sharpness,What is the color of graph whose lowest value is 35?,Green,Green.,1.0
Sample 15,Super Increased Sharpness,What is the color of graph whose lowest value is 35?,Green,Green.,1.0
Sample 15,Decreased Sharpness,What is the color of graph whose lowest value is 35?,Green,Green.,1.0
Sample 15,Super Decreased Sharpness,What is the color of graph whose lowest value is 35?,Green,Green.,1.0
Sample 15,Inverted,What is the color of graph whose lowest value is 35?,Green,Purple.,0.0
Sample 15,Super Sharp and Super Saturated,What is the color of graph whose lowest value is 35?,Green,Green.,1.0
Sample 16,Baseline,What's the median value of green graph?,75,The median value of the green graph (Germany favorability in Russia) is 75.,1.0
Sample 16,Black and White,What's the median value of green graph?,75,The median value of the green graph is 33.,0.0
Sample 16,Vertically Stretched,What's the median value of green graph?,75,The median value of the green graph is 75.,1.0
Sample 16,Horizontally Stretched,What's the median value of green graph?,75,The median value of the green graph (Germany favorability in Russia) is 75.,1.0
Sample 16,Squeezed Vertically,What's the median value of green graph?,75,53,0.0
Sample 16,Squeezed Horizontally,What's the median value of green graph?,75,The median value of the green graph (Germany favorability in Russia) is 75.,1.0
Sample 16,Downscaled,What's the median value of green graph?,75,The median value of the green graph (Germany favorability in Russia) is 67.,0.0
Sample 16,Upscaled,What's the median value of green graph?,75,The median value of the green graph (Germany favorability in Russia) is 75.,1.0
Sample 16,Increased Saturation,What's the median value of green graph?,75,The median value of the green graph is 75.,1.0
Sample 16,Super Increased Saturation,What's the median value of green graph?,75,The median value of the green graph (Germany favorability in Russia) is 75.,1.0
Sample 16,Decreased Saturation,What's the median value of green graph?,75,The median value of the green graph is 68.,0.0
Sample 16,Super Decreased Saturation,What's the median value of green graph?,75,The median value of the green graph is 50.,0.0
Sample 16,Increased Brightness,What's the median value of green graph?,75,The median value of the green graph (Russia favorability in Germany) is 32.,0.0
Sample 16,Super Increased Brightness,What's the median value of green graph?,75,The median value of the green graph (Russia favorability in Germany) is 33.,0.0
Sample 16,Decreased Brightness,What's the median value of green graph?,75,The median value of the green graph (Germany favorability in Russia) is 68.,0.3
Sample 16,Super Decreased Brightness,What's the median value of green graph?,75,The median value of the green graph is 75.,1.0
Sample 16,Increased Contrast,What's the median value of green graph?,75,The median value of the green graph is 69.,0.0
Sample 16,Super Increased Contrast,What's the median value of green graph?,75,The median value of the green graph is 69.,0.0
Sample 16,Decreased Contrast,What's the median value of green graph?,75,The median value of the green graph is 75.,1.0
Sample 16,Super Decreased Contrast,What's the median value of green graph?,75,The median value of the green graph is 76.,0.9
Sample 16,Increased Sharpness,What's the median value of green graph?,75,The median value of the green graph (Germany favorability in Russia) is 75.,1.0
Sample 16,Super Increased Sharpness,What's the median value of green graph?,75,The median value of the green graph is 75.,1.0
Sample 16,Decreased Sharpness,What's the median value of green graph?,75,The median value of the green graph (Germany favorability in Russia) is 69.5.,0.0
Sample 16,Super Decreased Sharpness,What's the median value of green graph?,75,The median value of the green graph (Germany favorability in Russia) is 75.,1.0
Sample 16,Inverted,What's the median value of green graph?,75,The median value of the green graph (Germany favorability in Russia) is 68.,0.6
Sample 16,Super Sharp and Super Saturated,What's the median value of green graph?,75,The median value of the green graph is 73.,0.9
Sample 17,Baseline,What's the rightmost value of orange graph?,51,51,1.0
Sample 17,Black and White,What's the rightmost value of orange graph?,51,79,0.0
Sample 17,Vertically Stretched,What's the rightmost value of orange graph?,51,51,1.0
Sample 17,Horizontally Stretched,What's the rightmost value of orange graph?,51,51,1.0
Sample 17,Squeezed Vertically,What's the rightmost value of orange graph?,51,51,1.0
Sample 17,Squeezed Horizontally,What's the rightmost value of orange graph?,51,51,1.0
Sample 17,Downscaled,What's the rightmost value of orange graph?,51,51,1.0
Sample 17,Upscaled,What's the rightmost value of orange graph?,51,51,1.0
Sample 17,Increased Saturation,What's the rightmost value of orange graph?,51,51,1.0
Sample 17,Super Increased Saturation,What's the rightmost value of orange graph?,51,51,1.0
Sample 17,Decreased Saturation,What's the rightmost value of orange graph?,51,51,1.0
Sample 17,Super Decreased Saturation,What's the rightmost value of orange graph?,51,51,1.0
Sample 17,Increased Brightness,What's the rightmost value of orange graph?,51,The rightmost value of the orange graph is 79.,0.0
Sample 17,Super Increased Brightness,What's the rightmost value of orange graph?,51,51%,1.0
Sample 17,Decreased Brightness,What's the rightmost value of orange graph?,51,51,1.0
Sample 17,Super Decreased Brightness,What's the rightmost value of orange graph?,51,51,1.0
Sample 17,Increased Contrast,What's the rightmost value of orange graph?,51,51,1.0
Sample 17,Super Increased Contrast,What's the rightmost value of orange graph?,51,51,1.0
Sample 17,Decreased Contrast,What's the rightmost value of orange graph?,51,51,1.0
Sample 17,Super Decreased Contrast,What's the rightmost value of orange graph?,51,51,1.0
Sample 17,Increased Sharpness,What's the rightmost value of orange graph?,51,51,1.0
Sample 17,Super Increased Sharpness,What's the rightmost value of orange graph?,51,51,1.0
Sample 17,Decreased Sharpness,What's the rightmost value of orange graph?,51,51,1.0
Sample 17,Super Decreased Sharpness,What's the rightmost value of orange graph?,51,51,1.0
Sample 17,Inverted,What's the rightmost value of orange graph?,51,79,0.0
Sample 17,Super Sharp and Super Saturated,What's the rightmost value of orange graph?,51,51,1.0
Sample 18,Baseline,Is the sum of leftmost value of green and smallest value of orange graph greater than 100?,Yes,"No, the sum is 100 (60 + 40).",0.0
Sample 18,Black and White,Is the sum of leftmost value of green and smallest value of orange graph greater than 100?,Yes,"Yes, the sum is 114 (60 + 54).",1.0
Sample 18,Vertically Stretched,Is the sum of leftmost value of green and smallest value of orange graph greater than 100?,Yes,"Yes, the sum is greater than 100. The leftmost value of the green graph is 60, and the smallest value of the orange graph is 46. Their sum is 106.",1.0
Sample 18,Horizontally Stretched,Is the sum of leftmost value of green and smallest value of orange graph greater than 100?,Yes,"No, the sum is not greater than 100. The leftmost value of the green graph is 60, and the smallest value of the orange graph is 46. Their sum is 106, which is greater than 100.",0.0
Sample 18,Squeezed Vertically,Is the sum of leftmost value of green and smallest value of orange graph greater than 100?,Yes,"No, the sum is not greater than 100. The leftmost value of the green graph is 60, and the smallest value of the orange graph is 46. Their sum is 106, which is greater than 100.",0.0
Sample 18,Squeezed Horizontally,Is the sum of leftmost value of green and smallest value of orange graph greater than 100?,Yes,"Yes, the sum is 114 (60 + 54), which is greater than 100.",1.0
Sample 18,Downscaled,Is the sum of leftmost value of green and smallest value of orange graph greater than 100?,Yes,"Yes, the sum is 114 (60 from green and 54 from orange).",1.0
Sample 18,Upscaled,Is the sum of leftmost value of green and smallest value of orange graph greater than 100?,Yes,"Yes, the sum is greater than 100. The leftmost value of the green graph is 60, and the smallest value of the orange graph is 46. Their sum is 106.",1.0
Sample 18,Increased Saturation,Is the sum of leftmost value of green and smallest value of orange graph greater than 100?,Yes,Yes. The sum is 114 (60 + 54).,1.0
Sample 18,Super Increased Saturation,Is the sum of leftmost value of green and smallest value of orange graph greater than 100?,Yes,"Yes, the sum is greater than 100. The leftmost value of the green graph (60) plus the smallest value of the orange graph (46) equals 106.",1.0
Sample 18,Decreased Saturation,Is the sum of leftmost value of green and smallest value of orange graph greater than 100?,Yes,"No, the sum is not greater than 100. The leftmost value of the green graph is 60, and the smallest value of the orange graph is 46, totaling 106.",0.0
Sample 18,Super Decreased Saturation,Is the sum of leftmost value of green and smallest value of orange graph greater than 100?,Yes,"No, the sum is not greater than 100. The leftmost value of the green graph is 60, and the smallest value of the orange graph is 46. Their sum is 106.",0.0
Sample 18,Increased Brightness,Is the sum of leftmost value of green and smallest value of orange graph greater than 100?,Yes,"Yes, the sum is greater than 100. The leftmost value of the green graph is 54, and the smallest value of the orange graph is 31, summing to 85.",0.7
Sample 18,Super Increased Brightness,Is the sum of leftmost value of green and smallest value of orange graph greater than 100?,Yes,"I can't determine the values from the image you provided. However, if you can provide the specific values, I can help with the calculation.",0.0
Sample 18,Decreased Brightness,Is the sum of leftmost value of green and smallest value of orange graph greater than 100?,Yes,"No, the sum is 114 (60 + 54).",0.0
Sample 18,Super Decreased Brightness,Is the sum of leftmost value of green and smallest value of orange graph greater than 100?,Yes,"Yes, the sum is greater than 100. The leftmost value of the green graph is 60, and the smallest value of the orange graph is 46. Their sum is 106.",1.0
Sample 18,Increased Contrast,Is the sum of leftmost value of green and smallest value of orange graph greater than 100?,Yes,"Yes, the sum is greater than 100. The leftmost value of the green graph is 60, and the smallest value of the orange graph is 46. Their sum is 106.",1.0
Sample 18,Super Increased Contrast,Is the sum of leftmost value of green and smallest value of orange graph greater than 100?,Yes,"No, the sum is 114 (60 + 54).",0.0
Sample 18,Decreased Contrast,Is the sum of leftmost value of green and smallest value of orange graph greater than 100?,Yes,"Yes, the sum is greater than 100. The leftmost value of the green graph is 60, and the smallest value of the orange graph is 46. Their sum is 106.",1.0
Sample 18,Super Decreased Contrast,Is the sum of leftmost value of green and smallest value of orange graph greater than 100?,Yes,"No, the sum is not greater than 100. The leftmost value of the green graph is 60, and the smallest value of the orange graph is 44. The sum is 104.",0.0
Sample 18,Increased Sharpness,Is the sum of leftmost value of green and smallest value of orange graph greater than 100?,Yes,"Yes, the sum is greater than 100. The leftmost value of the green graph is 60 and the smallest value of the orange graph is 46, which add up to 106.",1.0
Sample 18,Super Increased Sharpness,Is the sum of leftmost value of green and smallest value of orange graph greater than 100?,Yes,"Yes, the sum is greater than 100.",0.9
Sample 18,Decreased Sharpness,Is the sum of leftmost value of green and smallest value of orange graph greater than 100?,Yes,"No, the sum is 114 (60 + 54), which is greater than 100.",0.0
Sample 18,Super Decreased Sharpness,Is the sum of leftmost value of green and smallest value of orange graph greater than 100?,Yes,"Yes, the sum is greater than 100. (Green leftmost: 60, Orange smallest: 46. Sum = 106)",1.0
Sample 18,Inverted,Is the sum of leftmost value of green and smallest value of orange graph greater than 100?,Yes,There is no green or orange graph shown in the image provided.,0.0
Sample 18,Super Sharp and Super Saturated,Is the sum of leftmost value of green and smallest value of orange graph greater than 100?,Yes,"No, the sum is 114.",0.0
Sample 19,Baseline,What is the first data in orange line?,41,41%,0.9
Sample 19,Black and White,What is the first data in orange line?,41,The first data point in the orange line is 41% in 2003.,0.7
Sample 19,Vertically Stretched,What is the first data in orange line?,41,41%,0.9
Sample 19,Horizontally Stretched,What is the first data in orange line?,41,41%,0.9
Sample 19,Squeezed Vertically,What is the first data in orange line?,41,The first data point on the orange line is 28% in 2003.,0.0
Sample 19,Squeezed Horizontally,What is the first data in orange line?,41,41,1.0
Sample 19,Downscaled,What is the first data in orange line?,41,The first data point in the orange line is 27%.,0.0
Sample 19,Upscaled,What is the first data in orange line?,41,41%,0.9
Sample 19,Increased Saturation,What is the first data in orange line?,41,41%,0.9
Sample 19,Super Increased Saturation,What is the first data in orange line?,41,41%,0.8
Sample 19,Decreased Saturation,What is the first data in orange line?,41,41% in 2003.,0.7
Sample 19,Super Decreased Saturation,What is the first data in orange line?,41,41%,0.9
Sample 19,Increased Brightness,What is the first data in orange line?,41,The first data point in the orange line is 34% in 2003.,0.0
Sample 19,Super Increased Brightness,What is the first data in orange line?,41,The first data point in the orange line is 34% for the year 2003.,0.0
Sample 19,Decreased Brightness,What is the first data in orange line?,41,41% in 2003.,0.8
Sample 19,Super Decreased Brightness,What is the first data in orange line?,41,41,1.0
Sample 19,Increased Contrast,What is the first data in orange line?,41,The first data point in the orange line is 41% in 2003.,1.0
Sample 19,Super Increased Contrast,What is the first data in orange line?,41,41,1.0
Sample 19,Decreased Contrast,What is the first data in orange line?,41,41,1.0
Sample 19,Super Decreased Contrast,What is the first data in orange line?,41,41%,0.9
Sample 19,Increased Sharpness,What is the first data in orange line?,41,41%,0.9
Sample 19,Super Increased Sharpness,What is the first data in orange line?,41,The first data point in the orange line is 41% for the year 2003.,1.0
Sample 19,Decreased Sharpness,What is the first data in orange line?,41,41% in 2003.,0.7
Sample 19,Super Decreased Sharpness,What is the first data in orange line?,41,"In 2003, the first data point for the orange line (""U.S. confidence in Putin"") is 41%.",1.0
Sample 19,Inverted,What is the first data in orange line?,41,8,0.0
Sample 19,Super Sharp and Super Saturated,What is the first data in orange line?,41,41%,0.9
Sample 20,Baseline,Which year the green line cut the orange line from top to down?,2014,2015,0.9
Sample 20,Black and White,Which year the green line cut the orange line from top to down?,2014,"In 2015, the green line cut the orange line from top to bottom.",0.0
Sample 20,Vertically Stretched,Which year the green line cut the orange line from top to down?,2014,2015,0.9
Sample 20,Horizontally Stretched,Which year the green line cut the orange line from top to down?,2014,2014.,1.0
Sample 20,Squeezed Vertically,Which year the green line cut the orange line from top to down?,2014,"In 2009, the green line cuts the orange line from top to bottom.",0.0
Sample 20,Squeezed Horizontally,Which year the green line cut the orange line from top to down?,2014,In 2009.,0.0
Sample 20,Downscaled,Which year the green line cut the orange line from top to down?,2014,The green line cuts the orange line from top to bottom in 2009.,0.0
Sample 20,Upscaled,Which year the green line cut the orange line from top to down?,2014,"In 2013, the green line cut the orange line from top to down.",0.0
Sample 20,Increased Saturation,Which year the green line cut the orange line from top to down?,2014,The green line cut the orange line from top to down in 2012.,0.0
Sample 20,Super Increased Saturation,Which year the green line cut the orange line from top to down?,2014,The green line cut the orange line from top to bottom in 2015.,0.0
Sample 20,Decreased Saturation,Which year the green line cut the orange line from top to down?,2014,2013,0.9
Sample 20,Super Decreased Saturation,Which year the green line cut the orange line from top to down?,2014,The green line cut the orange line from top to down in the year 2009.,0.0
Sample 20,Increased Brightness,Which year the green line cut the orange line from top to down?,2014,The green line cuts the orange line from top to down in 2009.,0.0
Sample 20,Super Increased Brightness,Which year the green line cut the orange line from top to down?,2014,2015,0.9
